Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Wayne Hennessey,Burnley,GK,,34,2,2,180,90,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.06,0.06
Dale Stephens,Burnley,MF,,32,3,1,124,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02,0.03,0.06
Phil Bardsley,Burnley,DF,,36,0,0,,,,,,,,,,,,,,,,,,
Dara Costelloe,Burnley,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Owen Dodgson,Burnley,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Anthony Gomez Mancini,Burnley,MF,,20,0,0,,,,,,,,,,,,,,,,,,
Joseph McGlynn,Burnley,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Will Norris,Burnley,GK,,27,0,0,,,,,,,,,,,,,,,,,,
Lewis Richardson,Burnley,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Bobby Thomas,Burnley,DF,,,0,0,,,,,,,,,,,,,,,,,,
Sam Waller,Burnley,GK,,17,0,0,,,,,,,,,,,,,,,,,,
Edouard Mendy,Chelsea,GK,,29,34,34,"3,060",90,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,Chelsea,DF,,28,34,34,"3,035",89,3,0,3,0,0,9,0,0.09,0,0.09,2.8,2.8,1.1,0.08,0.03,0.12
Thiago Silva,Chelsea,DF,,36,32,28,"2,650",82,3,0,3,0,0,2,0,0.1,0,0.1,0.9,0.9,0.2,0.03,0.01,0.04
Mason Mount,Chelsea,MF,FW,22,32,27,"2,363",73,11,10,10,1,1,4,0,0.42,0.38,0.8,8.9,8.1,6.7,0.34,0.25,0.59
Jorginho,Chelsea,MF,,29,29,26,"2,273",78,6,2,0,6,7,5,0,0.24,0.08,0.32,5.7,0.4,2.8,0.23,0.11,0.34
Marcos Alonso,Chelsea,DF,,30,28,25,"2,167",77,4,4,4,0,0,8,0,0.17,0.17,0.33,3.3,3.3,4.6,0.14,0.19,0.33
César Azpilicueta,Chelsea,DF,,31,27,24,"2,070",76,1,2,1,0,0,3,0,0.04,0.09,0.13,1.2,1.2,2.1,0.05,0.09,0.14
Reece James,Chelsea,DF,,21,26,22,"1,864",71,5,9,5,0,0,4,1,0.24,0.43,0.68,2.6,2.6,5.7,0.12,0.28,0.4
Kai Havertz,Chelsea,FW,MF,22,29,22,"1,809",62,8,3,8,0,0,3,0,0.4,0.15,0.55,9.7,9.7,2,0.48,0.1,0.58
N'Golo Kanté,Chelsea,MF,,30,26,21,"1,773",68,2,4,2,0,0,2,0,0.1,0.2,0.3,1.8,1.8,2.3,0.09,0.12,0.21
Andreas Christensen,Chelsea,DF,,25,19,17,"1,496",78,0,0,0,0,0,2,0,0,0,0,0.4,0.4,0.2,0.03,0.01,0.04
Trevoh Chalobah,Chelsea,DF,,22,20,17,"1,449",72,3,1,3,0,0,2,0,0.19,0.06,0.25,1,1,0.2,0.06,0.01,0.08
Romelu Lukaku,Chelsea,FW,,28,26,16,"1,589",61,8,0,7,1,1,1,0,0.45,0,0.45,6.8,6.1,3,0.39,0.17,0.55
Mateo Kova?i?,Chelsea,MF,,27,25,16,"1,558",62,2,5,2,0,0,4,0,0.12,0.29,0.4,1.8,1.8,3.6,0.11,0.21,0.32
Timo Werner,Chelsea,FW,MF,25,21,15,"1,283",61,4,1,4,0,0,1,0,0.28,0.07,0.35,7.6,7.6,0.4,0.53,0.03,0.56
Hakim Ziyech,Chelsea,FW,MF,28,23,14,"1,319",57,4,3,4,0,0,3,0,0.27,0.2,0.48,3.4,3.4,3.5,0.23,0.24,0.47
Ruben Loftus-Cheek,Chelsea,MF,DF,25,24,13,"1,394",58,0,2,0,0,0,1,0,0,0.13,0.13,1.2,1.2,1.9,0.08,0.12,0.2
Christian Pulisic,Chelsea,MF,FW,22,22,13,"1,290",58,6,2,6,0,0,2,0,0.42,0.14,0.56,5.1,5.1,1.2,0.35,0.08,0.44
Callum Hudson-Odoi,Chelsea,FW,MF,20,15,11,962,64,1,2,1,0,0,1,0,0.09,0.19,0.28,2.1,2.1,2.3,0.2,0.21,0.41
Malang Sarr,Chelsea,DF,,22,8,6,546,68,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.01,0.06,0.07
Ben Chilwell,Chelsea,DF,,24,7,6,542,77,3,1,3,0,0,0,0,0.5,0.17,0.66,1.2,1.2,0.9,0.19,0.15,0.34
Saúl Ñíguez,Chelsea,MF,DF,26,10,5,480,48,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0.3,0.04,0.06,0.1
Kepa Arrizabalaga,Chelsea,GK,,26,4,4,360,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,Chelsea,MF,,27,6,1,179,29,1,0,1,0,0,0,0,0.5,0,0.5,1.2,1.2,0.7,0.6,0.33,0.94
Kenedy,Chelsea,DF,,25,1,1,58,58,0,1,0,0,0,0,0,0,1.55,1.55,0.1,0.1,0.9,0.13,1.35,1.48
Emerson Palmieri,Chelsea,DF,,26,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy Abraham,Chelsea,FW,,23,0,0,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,Chelsea,GK,,29,0,0,,,,,,,,,,,,,,,,,,
Lewis Hall,Chelsea,MF,,16,0,0,,,,,,,,,,,,,,,,,,
Harvey Vale,Chelsea,MF,,17,0,0,,,,,,,,,,,,,,,,,,
Kurt Zouma,Chelsea,DF,,26,0,0,,,,,,,,,,,,,,,,,,
Marc Guéhi,Crystal Palace,DF,,21,36,36,"3,222",89,2,1,2,0,0,4,0,0.06,0.03,0.08,1.9,1.9,0.5,0.05,0.01,0.07
Tyrick Mitchell,Crystal Palace,DF,,21,36,35,"3,101",86,0,2,0,0,0,1,0,0,0.06,0.06,0.3,0.3,1.3,0.01,0.04,0.05
Conor Gallagher,Crystal Palace,MF,,21,34,33,"2,845",83,8,3,8,0,0,10,0,0.25,0.09,0.35,5.8,5.8,3.5,0.18,0.11,0.29
Joachim Andersen,Crystal Palace,DF,,25,34,32,"2,916",85,0,3,0,0,0,4,0,0,0.09,0.09,0.6,0.6,2,0.02,0.06,0.08
Wilfried Zaha,Crystal Palace,FW,,28,33,31,"2,760",83,14,1,9,5,7,6,1,0.46,0.03,0.49,9.4,4,4.8,0.31,0.16,0.46
Vicente Guaita,Crystal Palace,GK,,34,30,30,"2,655",88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Joel Ward,Crystal Palace,DF,,31,28,27,"2,487",88,0,0,0,0,0,8,0,0,0,0,0.4,0.4,0.6,0.01,0.02,0.03
Jordan Ayew,Crystal Palace,FW,,29,31,23,"2,019",65,3,3,3,0,0,2,0,0.13,0.13,0.27,3.7,3.7,2.3,0.17,0.1,0.27
Cheikhou Kouyaté,Crystal Palace,MF,,31,27,23,"1,974",73,0,1,0,0,0,3,0,0,0.05,0.05,0.6,0.6,0.7,0.03,0.03,0.06
Jeffrey Schlupp,Crystal Palace,MF,FW,28,32,20,"1,851",57,4,1,4,0,0,1,0,0.19,0.05,0.24,3.1,3.1,1.8,0.15,0.09,0.24
Odsonne Édouard,Crystal Palace,FW,,23,28,18,"1,564",55,6,3,5,1,1,4,0,0.35,0.17,0.52,6.9,6.1,2.3,0.39,0.13,0.53
James McArthur,Crystal Palace,MF,,33,21,15,"1,439",68,0,3,0,0,0,4,0,0,0.19,0.19,0.3,0.3,1,0.02,0.06,0.08
Nathaniel Clyne,Crystal Palace,DF,,30,16,15,"1,351",84,0,1,0,0,0,1,0,0,0.07,0.07,0.1,0.1,0.5,0.01,0.03,0.04
Jean-Philippe Mateta,Crystal Palace,FW,,24,22,13,"1,145",52,5,1,5,0,0,2,0,0.39,0.08,0.47,5.5,5.5,1.3,0.43,0.11,0.54
Will Hughes,Crystal Palace,MF,,26,16,13,"1,053",65,0,1,0,0,0,6,0,0,0.09,0.09,0.2,0.2,0.7,0.01,0.06,0.07
Michael Olise,Crystal Palace,FW,MF,19,26,12,"1,141",43,2,5,2,0,0,4,0,0.16,0.39,0.55,1.4,1.4,3.4,0.11,0.27,0.38
Christian Benteke,Crystal Palace,FW,,30,25,11,"1,145",45,4,1,4,0,0,3,0,0.31,0.08,0.39,5.4,5.4,1.1,0.42,0.09,0.51
Luka Milivojevi?,Crystal Palace,MF,,30,15,9,774,51,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0.8,0.03,0.09,0.12
Jack Butland,Crystal Palace,GK,,28,9,8,765,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eberechi Eze,Crystal Palace,MF,FW,23,13,6,605,46,1,1,1,0,0,1,0,0.15,0.15,0.3,0.5,0.5,0.9,0.08,0.13,0.21
James Tomkins,Crystal Palace,DF,,32,8,6,547,68,1,0,1,0,0,2,0,0.16,0,0.16,0.6,0.6,0.4,0.09,0.06,0.15
Jaïro Riedewald,Crystal Palace,MF,,24,3,1,118,39,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.06,0.06
Jesuran Rak Sakyi,Crystal Palace,FW,MF,18,2,1,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ferguson,Crystal Palace,DF,,20,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omotayo Adaramola,Crystal Palace,DF,,17,0,0,,,,,,,,,,,,,,,,,,
Scott Banks,Crystal Palace,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Reece Hannam,Crystal Palace,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Martin Kelly,Crystal Palace,DF,MF,31,0,0,,,,,,,,,,,,,,,,,,
Remi Matthews,Crystal Palace,GK,,27,0,0,,,,,,,,,,,,,,,,,,
Robert Street,Crystal Palace,FW,,19,0,0,,,,,,,,,,,,,,,,,,
Jordan Pickford,Everton,GK,,27,35,35,"3,150",90,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0,0,0
Michael Keane,Everton,DF,,28,32,31,"2,792",87,3,2,3,0,0,4,1,0.1,0.06,0.16,1.2,1.2,0.6,0.04,0.02,0.06
Séamus Coleman,Everton,DF,,32,30,30,"2,656",88,1,0,1,0,0,4,0,0.03,0,0.03,1,1,1.1,0.03,0.04,0.07
Abdoulaye Doucouré,Everton,MF,,28,30,29,"2,537",84,2,4,2,0,0,6,0,0.07,0.14,0.21,2.7,2.7,2.2,0.1,0.08,0.17
Richarlison,Everton,FW,MF,24,30,28,"2,523",84,10,5,7,3,3,9,0,0.36,0.18,0.54,10.2,7.9,2.4,0.36,0.09,0.45
Demarai Gray,Everton,MF,FW,25,34,28,"2,338",68,5,4,5,0,0,3,0,0.19,0.15,0.35,4.5,4.5,4.3,0.17,0.16,0.34
Anthony Gordon,Everton,MF,FW,20,35,25,"2,285",65,4,2,4,0,0,4,0,0.16,0.08,0.24,3.4,3.4,3.3,0.13,0.13,0.26
Allan,Everton,MF,,30,28,25,"2,183",77,0,2,0,0,0,7,1,0,0.08,0.08,0.2,0.2,0.9,0.01,0.04,0.04
Mason Holgate,Everton,DF,,24,25,23,"2,134",85,2,1,2,0,0,7,1,0.08,0.04,0.13,1.1,1.1,0.1,0.05,0,0.05
Ben Godfrey,Everton,DF,,23,23,23,"2,029",88,0,0,0,0,0,6,0,0,0,0,1.1,1.1,0.7,0.05,0.03,0.08
Alex Iwobi,Everton,MF,DF,25,28,22,"2,035",72,2,2,2,0,0,1,0,0.09,0.09,0.18,1.7,1.7,2.8,0.07,0.13,0.2
Andros Townsend,Everton,MF,,30,21,17,"1,455",69,3,2,2,1,1,3,0,0.19,0.12,0.31,2.3,1.5,2.4,0.14,0.15,0.29
Dominic Calvert-Lewin,Everton,FW,,24,17,15,"1,283",75,5,2,3,2,3,2,0,0.35,0.14,0.49,6.8,4.6,1.8,0.48,0.13,0.61
Lucas Digne,Everton,DF,,28,13,13,"1,170",90,0,0,0,0,0,4,0,0,0,0,0.4,0.4,1.7,0.03,0.13,0.16
Vitaliy Mykolenko,Everton,DF,,22,13,12,"1,055",81,1,0,1,0,0,0,0,0.09,0,0.09,0.8,0.8,0.8,0.07,0.07,0.14
Jonjoe Kenny,Everton,DF,,24,15,11,"1,018",67,0,1,0,0,0,3,1,0,0.09,0.09,0.3,0.3,0.5,0.03,0.05,0.08
Yerry Mina,Everton,DF,,26,13,11,846,65,0,0,0,0,0,3,0,0,0,0,0.3,0.3,0,0.03,0,0.03
Salomón Rondón,Everton,FW,,31,20,8,790,39,1,1,1,0,0,3,1,0.11,0.11,0.23,2.2,2.2,0.7,0.25,0.09,0.33
Fabian Delph,Everton,MF,,31,11,8,662,60,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.01,0.01,0.02
André Gomes,Everton,MF,,28,14,7,619,44,0,1,0,0,0,3,0,0,0.15,0.15,0.7,0.7,0.2,0.1,0.03,0.13
Donny van de Beek,Everton,MF,,24,7,5,483,69,1,0,1,0,0,1,0,0.19,0,0.19,0.9,0.9,0.1,0.17,0.01,0.18
Jarrad Branthwaite,Everton,DF,,19,6,4,388,64,1,0,1,0,0,0,1,0.23,0,0.23,0.4,0.4,0,0.1,0,0.1
Asmir Begovi?,Everton,GK,,34,3,3,270,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Davies,Everton,MF,,23,6,2,234,39,1,0,1,0,0,1,0,0.38,0,0.38,0.9,0.9,0,0.35,0,0.35
Dele Alli,Everton,MF,,25,11,1,338,30,0,0,0,0,0,3,0,0,0,0,0.1,0.1,0.3,0.02,0.09,0.11
Jean-Philippe Gbamin,Everton,MF,,25,3,1,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis Simms,Everton,FW,,20,1,1,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dobbin,Everton,FW,MF,18,3,0,32,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tyler Onyango,Everton,MF,FW,18,3,0,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1
Isaac Price,Everton,MF,,17,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.03,0,1.03
Anwar El Ghazi,Everton,FW,,26,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenk Tosun,Everton,FW,,30,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moise Kean,Everton,FW,,21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Broadhead,Everton,FW,MF,23,0,0,,,,,,,,,,,,,,,,,,
Andy Lonergan,Everton,GK,,37,0,0,,,,,,,,,,,,,,,,,,
Niels Nkounkou,Everton,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Nathan Patterson,Everton,DF,,19,0,0,,,,,,,,,,,,,,,,,,
Harry Tyrer,Everton,GK,,19,0,0,,,,,,,,,,,,,,,,,,
Reece Welch,Everton,DF,,17,0,0,,,,,,,,,,,,,,,,,,
Charlie Whitaker,Everton,MF,,17,0,0,,,,,,,,,,,,,,,,,,
Illan Meslier,Leeds United,GK,,21,38,38,"3,384",89,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Stuart Dallas,Leeds United,DF,MF,30,34,34,"2,919",85,1,1,1,0,0,5,0,0.03,0.03,0.06,2,2,2.4,0.06,0.07,0.13
Raphael Dias Belloli,Leeds United,FW,MF,24,35,34,"2,915",83,11,3,7,4,4,7,0,0.34,0.09,0.43,11.2,8.2,6.8,0.35,0.21,0.56
Jack Harrison,Leeds United,FW,MF,24,35,32,"2,639",75,8,1,8,0,0,3,0,0.27,0.03,0.31,4,4,2.6,0.14,0.09,0.22
Daniel James,Leeds United,FW,MF,23,32,29,"2,366",73,4,4,4,0,0,7,1,0.15,0.15,0.3,5.7,5.7,2.4,0.22,0.09,0.31
Diego Llorente,Leeds United,DF,,27,28,28,"2,340",83,3,0,3,0,0,7,0,0.12,0,0.12,1.4,1.4,0.1,0.05,0,0.05
Rodrigo,Leeds United,MF,FW,30,31,27,"2,265",73,6,1,5,1,1,9,0,0.24,0.04,0.28,4.9,4.1,4.6,0.19,0.18,0.38
Luke Ayling,Leeds United,DF,,29,26,26,"2,272",87,2,2,2,0,0,4,1,0.08,0.08,0.16,1.6,1.6,0.8,0.06,0.03,0.1
Mateusz Klich,Leeds United,MF,,31,33,26,"2,073",62,1,2,1,0,0,5,0,0.04,0.09,0.13,2.7,2.7,2.2,0.12,0.09,0.21
Pascal Struijk,Leeds United,DF,,21,29,22,"2,055",70,1,0,1,0,0,6,1,0.04,0,0.04,1.3,1.3,0.3,0.06,0.01,0.07
Liam Cooper,Leeds United,DF,,29,21,21,"1,814",86,0,1,0,0,0,5,0,0,0.05,0.05,0.3,0.3,0.1,0.02,0,0.02
Junior Firpo,Leeds United,DF,,24,24,19,"1,711",71,0,2,0,0,0,11,0,0,0.11,0.11,0.9,0.9,2.6,0.05,0.13,0.18
Kalvin Phillips,Leeds United,MF,,25,20,18,"1,596",79,0,1,0,0,0,4,0,0,0.06,0.06,0.6,0.6,0.2,0.04,0.01,0.05
Robin Koch,Leeds United,MF,DF,25,20,17,"1,574",78,0,0,0,0,0,3,0,0,0,0,0.7,0.7,0.5,0.04,0.03,0.07
Adam Forshaw,Leeds United,MF,,29,22,17,"1,530",69,0,1,0,0,0,5,0,0,0.06,0.06,0.4,0.4,1.1,0.02,0.07,0.09
Tyler Roberts,Leeds United,MF,FW,22,23,7,987,42,1,1,1,0,0,5,0,0.09,0.09,0.18,2.4,2.4,1.2,0.22,0.11,0.34
Jamie Shackleton,Leeds United,DF,MF,21,14,7,709,50,0,0,0,0,0,4,0,0,0,0,0.2,0.2,0,0.02,0.01,0.03
Patrick Bamford,Leeds United,FW,,27,9,7,559,62,2,2,2,0,0,2,0,0.32,0.32,0.64,3.9,3.9,1,0.63,0.15,0.78
Joe Gelhardt,Leeds United,FW,MF,19,20,5,746,37,2,2,2,0,0,4,0,0.24,0.24,0.48,3.1,3.1,1.5,0.38,0.19,0.56
Sam Greenwood,Leeds United,MF,FW,19,7,1,237,33,0,2,0,0,0,0,0,0,0.76,0.76,0.4,0.4,0.7,0.14,0.28,0.42
Lewis Bate,Leeds United,MF,,18,3,1,146,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
Charlie Cresswell,Leeds United,DF,,18,5,1,141,28,0,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.05,0,0.05
Cody Drameh,Leeds United,DF,,19,3,1,128,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0.01
Leo Fuhr Hjelde,Leeds United,DF,,17,2,0,150,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02
Crysencio Summerville,Leeds United,MF,FW,19,6,0,130,21,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.18,0.03,0.21
Kristoffer Klaesson,Leeds United,GK,,20,1,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hélder Costa,Leeds United,MF,,27,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11
Liam McCarron,Leeds United,FW,,20,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart McKinstry,Leeds United,MF,,18,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nohan Kenneh,Leeds United,DF,,18,0,0,,,0,0,0,0,0,1,0,,,,,,,,,
Archie Gray,Leeds United,MF,,15,0,0,,,,,,,,,,,,,,,,,,
Jack Jenkins,Leeds United,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Kris Moore,Leeds United,MF,,,0,0,,,,,,,,,,,,,,,,,,
Kasper Schmeichel,Leicester City,GK,,34,37,37,"3,330",90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Youri Tielemans,Leicester City,MF,,24,32,29,"2,631",82,6,4,4,2,2,3,0,0.21,0.14,0.34,4.6,3.1,4.9,0.16,0.17,0.32
Ça?lar Söyüncü,Leicester City,DF,,25,28,28,"2,497",89,1,0,1,0,0,5,0,0.04,0,0.04,1.4,1.4,0.1,0.05,0,0.05
James Maddison,Leicester City,MF,FW,24,35,28,"2,459",70,12,8,12,0,0,3,0,0.44,0.29,0.73,8.2,8.2,4.8,0.3,0.18,0.48
Harvey Barnes,Leicester City,FW,MF,23,32,24,"2,101",65,6,10,6,0,0,2,0,0.26,0.43,0.69,6.8,6.8,4,0.29,0.17,0.46
Daniel Amartey,Leicester City,DF,,26,28,23,"2,123",75,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0,0.01,0.01
Kiernan Dewsbury Hall,Leicester City,MF,,22,28,23,"2,105",75,1,3,1,0,0,4,0,0.04,0.13,0.17,1.3,1.3,3,0.06,0.13,0.18
Timothy Castagne,Leicester City,DF,,25,27,22,"2,127",78,1,0,1,0,0,1,0,0.04,0,0.04,0.8,0.8,1.3,0.03,0.05,0.09
Luke Thomas,Leicester City,DF,,20,22,21,"1,912",86,0,1,0,0,0,2,0,0,0.05,0.05,0.2,0.2,1.6,0.01,0.07,0.08
Jamie Vardy,Leicester City,FW,,34,25,20,"1,806",72,15,2,15,0,0,2,0,0.75,0.1,0.85,9.5,9.5,1.6,0.47,0.08,0.55
Wilfred Ndidi,Leicester City,MF,DF,24,19,18,"1,618",85,0,0,0,0,0,4,0,0,0,0,1,1,0,0.06,0,0.06
Ademola Lookman,Leicester City,FW,MF,23,26,16,"1,453",55,6,0,6,0,0,2,0,0.37,0,0.37,5.1,5.1,1.9,0.31,0.12,0.43
Jonny Evans,Leicester City,DF,,33,18,16,"1,348",74,1,1,1,0,0,3,0,0.07,0.07,0.13,0.7,0.7,0.6,0.05,0.04,0.09
Kelechi Iheanacho,Leicester City,FW,,24,26,13,"1,264",48,4,5,4,0,0,1,0,0.28,0.36,0.64,3.4,3.4,2.7,0.25,0.19,0.44
Patson Daka,Leicester City,FW,,22,23,13,"1,159",50,5,3,5,0,0,2,0,0.39,0.23,0.62,4.7,4.7,1.8,0.36,0.14,0.51
Ricardo Pereira,Leicester City,DF,,27,14,13,991,70,1,3,1,0,0,3,0,0.09,0.27,0.36,0.7,0.7,1.3,0.06,0.12,0.18
Boubakary Soumaré,Leicester City,MF,,22,19,12,"1,102",58,0,1,0,0,0,0,0,0,0.08,0.08,0.4,0.4,0.4,0.03,0.03,0.06
Nampalys Mendy,Leicester City,MF,,29,14,12,"1,032",73,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Marc Albrighton,Leicester City,FW,DF,31,17,11,"1,132",66,1,2,1,0,0,3,0,0.08,0.16,0.24,0.5,0.5,1.7,0.04,0.13,0.18
James Justin,Leicester City,DF,,23,13,11,998,76,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,0.06,0.09,0.14
Wesley Fofana,Leicester City,DF,,20,7,7,630,90,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0,0.03,0,0.04
Jannik Vestergaard,Leicester City,DF,,28,10,6,567,56,0,0,0,0,0,2,0,0,0,0,0.1,0.1,0,0.01,0.01,0.01
Ayoze Pérez,Leicester City,MF,FW,28,14,6,445,31,2,3,2,0,0,0,1,0.4,0.61,1.01,1.5,1.5,0.9,0.31,0.18,0.49
Ryan Bertrand,Leicester City,DF,,31,4,4,337,84,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0.08,0.08
Hamza Choudhury,Leicester City,DF,MF,23,6,4,285,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0.01
Danny Ward,Leicester City,GK,,28,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Brunt,Leicester City,MF,,20,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasey McAteer,Leicester City,FW,,19,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vontae Daley Campbell,Leicester City,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Eldin Jakupovi?,Leicester City,GK,,36,0,0,,,,,,,,,,,,,,,,,,
Benjamin Nelson,Leicester City,DF,,17,0,0,,,,,,,,,,,,,,,,,,
